agency,price,location,link,bedrooms,bathrooms,area
,3.5 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_double_unit_house_is_available_for_sale-51288935-8627-1.html,5,5,10 Marla
,2.25 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_double_unit_house_is_available_for_sale-51408526-8627-1.html,4,4,7 Marla
,3.15 Crore,"Gulgasht Colony, Multan",https://www.zameen.com/Property/multan_gulgasht_colony_7_marla_triple_storey_hostel_available_for_sale-51944841-664-1.html,11,7,7 Marla
,1.4 Crore,"Multan Public School Road, Multan",https://www.zameen.com/Property/multan_multan_public_school_road_house_is_available_for_sale-51968788-8902-1.html,3,3,4 Marla
,1.25 Crore,"Bahadurpur, Multan",https://www.zameen.com/Property/multan_bahadurpur_house_is_available_for_sale-51992596-8620-1.html,4,4,5 Marla
,1.2 Crore,"Garden Town, Multan",https://www.zameen.com/Property/multan_garden_town_5_marla_double_storey_house_for_sale_in_garden_town_multan-51982362-924-1.html,4,4,5 Marla
,1.7 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_house_available_for_sale_in_buch_villa_multan-52013175-8627-1.html,4,4,5 Marla
,3.7 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_house_available_for_sale_in_buch_executive_villas_multan-52045998-8627-1.html,6,7,10 Marla
,2.1 Crore,"Garden Town, Multan",https://www.zameen.com/Property/multan_garden_town_15_marla_house_available_for_sale_at_garden_town_multan-52074801-924-1.html,3,4,15 Marla
,1.15 Crore,"Bosan Road, Multan",https://www.zameen.com/Property/multan_bosan_road_house_is_available_for_sale-52116299-5705-1.html,3,3,6 Marla
,3.1 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_luxury_triple_storey_house_for_sale_in_buch_executive_villa-51171626-8627-1.html,6,6,10 Marla
,1.65 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_house_is_available_for_sale-49693071-8627-1.html,4,4,5 Marla
,2.5 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_prime_location_house_for_sale_in_beautiful_askari_3-51395511-17156-1.html,4,5,10 Marla
,2.8 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_prime_location_12_marla_house_situated_in_dha_villas_for_sale-51395509-14018-1.html,4,5,12 Marla
,3 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_get_in_touch_now_to_buy_a_prime_location_house_in_dha_villas_multan-50980531-14018-1.html,5,6,12 Marla
,94.56 Lakh,"DHA Phase 1 - Sector T, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_t_stunning_and_affordable_prime_location_flat_available_for_sale_in_dha_phase_1_-_sector_t-50500512-14319-1.html,1,1,2.4 Marla
,1.32 Crore,"Platinum Homes DHAM, DHA Defence",https://www.zameen.com/Property/dha_defence_platinum_homes_dham_fully_furnished_5_marla_house_available_in_platinum_homes_dham_for_sale-50500506-19061-1.html,3,4,5 Marla
,1.19 Crore,"DHA Rumanza Golf Community, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_rumanza_golf_community_ready_to_sale_a_prime_location_flat_651_square_feet_in_dha_rumanza_golf_community_multan-50500504-18186-1.html,1,1,2.9 Marla
Titanium,3.5 Crore,"Model Town, Multan",https://www.zameen.com/Property/multan_model_town_10_marla_royal_spanish_brand_new_double_story_house_for_sale_in_outstanding_location_of_model_town-52315991-1147-1.html,6,6,10 Marla
Titanium,3.15 Crore,"Income Tax Officers Colony, Multan",https://www.zameen.com/Property/multan_income_tax_officers_colony_18_marla_double_storey_house_available_for_sale_income_tax_officer_colony-50475320-5751-1.html,5,5,18 Marla
,2.1 Crore,"Wapda Town Phase 1, Wapda Town",https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_7_marla_house_available_for_sale_in_wapda_town_phase_1_multan-52029460-5821-1.html,5,5,7 Marla
,3.7 Crore,"Wapda Town Phase 2, Wapda Town",https://www.zameen.com/Property/wapda_town_wapda_town_phase_2_double_unit_house_is_available_for_sale-52051497-5825-1.html,5,6,10 Marla
,1.52 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_house_for_sale_in_buch_executive_villas_multan-52194608-8627-1.html,4,5,5 Marla
,2.75 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_12_marla_house_askari-3_villa_dha_multan-50640056-17156-1.html,4,5,12 Marla
,3.6 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_11_marla_corner_newly_stylish_house_royal_orchard_multan-52182861-9492-1.html,5,7,11 Marla
,1.8 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_luxury_house_for_sale-52006472-8627-1.html,4,5,6 Marla
,3.5 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_10_marla_house_available_for_sale_in_royal_orchard_in_multan-52030230-9492-1.html,5,5,10 Marla
,4.15 Crore,"DHA Phase 1 - Sector Q, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_q_1_kanal_luxury_house_available_for_sale_in_dha_multan_sector_q_prime_location-52225340-14316-1.html,5,6,1 Kanal
,2.9 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_10_marla_house_available_for_sale-52057661-8627-1.html,4,5,10 Marla
,65 Lakh,"Mujtaba Canal View, Multan",https://www.zameen.com/Property/multan_mujtaba_canal_view_5_marla_double_storey_house-52224204-21567-1.html,5,3,5 Marla
,3 Crore,"Nasheman Colony, Multan",https://www.zameen.com/Property/multan_nasheman_colony_house_is_available_for_sale-48930669-1075-1.html,6,6,1 Kanal
,1.6 Crore,"DHA Phase 1 - Sector U, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_u_u_10_marla_gray_structure_prime_location-52072752-14320-1.html,4,5,10 Marla
,2.2 Crore,"Model Town, Multan",https://www.zameen.com/Property/multan_model_town_house_is_available_for_sale-51550057-1147-1.html,5,5,10 Marla
,97 Lakh,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_4_marla_luxury_house_available_for_sale_in_buch-51805315-8627-1.html,2,2,4 Marla
,3.85 Crore,"Dream Garden, Purana Shujabad Road",https://www.zameen.com/Property/purana_shujabad_road_dream_garden_house_is_available_for_sale-51176700-8903-1.html,5,5,10 Marla
,4 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_tripple_storey_10_marla_house_available_in_buch_executive_villas_for_sale-52182698-8627-1.html,6,6,10 Marla
,2.75 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_7_5_marla_triple_storey_house_available_for_sale-51609464-8627-1.html,6,6,7.5 Marla
Titanium,4.25 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_01_kanal_house_available_for_sale_askari_dha_multan-49224635-17156-1.html,5,6,1 Kanal
,4.25 Crore,"Shah Rukn-e-Alam Colony, Multan",https://www.zameen.com/Property/multan_shah_rukn-e-alam_colony_ideally_located_house_for_sale_in_shah_rukn-e-alam_colony_available-52144616-658-1.html,6,6,1 Kanal
Titanium,4.1 Crore,"Royal Orchard - Block E, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_e_11_5_marla_ultra_modern_elevation_style_house_available_in_royal_orchard_housing_multan-52234149-9497-1.html,5,7,11.5 Marla
Titanium,3.4 Crore,"Model Town - Block C, Model Town",https://www.zameen.com/Property/model_town_model_town_-_block_c_10_4_marla_stylish_victorian_corner_designer_home_for_sale-51359073-5774-1.html,5,6,10 Marla
Titanium,3.4 Crore,"Model Town - Block C, Model Town",https://www.zameen.com/Property/model_town_model_town_-_block_c_exquisite_10_4_marla_victorian_corner_designer_house-51364362-5774-1.html,5,6,10.4 Marla
Titanium,5.99 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_well-constructed_prime_location_house_available_for_sale_in_royal_orchard-52295173-9492-1.html,6,6,1 Kanal
Titanium,3.5 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_reserve_a_prime_location_house_of_10_marla_now_in_buch_executive_villas-52295634-8627-1.html,5,6,10 Marla
Titanium,2.5 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_premium_10_marla_house_is_available_for_sale_in_multan-52311630-17156-1.html,4,4,10 Marla
Titanium,2.8 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_book_a_house_of_12_marla_in_askari_3_multan-52311629-17156-1.html,4,4,12 Marla
Titanium,3.25 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_get_your_hands_on_house_in_multan_best_area-52311628-14018-1.html,5,5,12 Marla
Titanium,2.8 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_affordable_house_for_sale_in_dha_villas-52311627-14018-1.html,4,4,12 Marla
Titanium,2.5 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_buy_a_centrally_located_9_marla_house_in_dha_villas-52311626-14018-1.html,4,4,9 Marla
Titanium,1.75 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_house_is_available_for_sale_in_dha_villas-52311625-14018-1.html,3,4,6 Marla
Titanium,2.9 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_spacious_prime_location_12_marla_house_available_for_sale_in_dha_villas-52311569-14018-1.html,5,6,12 Marla
Titanium,2.1 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_your_dream_prime_location_9_marla_house_is_available_in_dha_villas-52311568-14018-1.html,4,5,9 Marla
Titanium,6.1 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_prime_location_house_of_20_marla_for_sale_in_buch_executive_villas-52311563-8627-1.html,6,6,1 Kanal
Titanium,5.1 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_prime_location_house_available_for_sale_in_buch_executive_villas-52311562-8627-1.html,6,6,17 Marla
Titanium,3.2 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_become_owner_of_your_prime_location_house_today_which_is_centrally_located_in_buch_executive_villas_in_buch_executive_villas-52311561-8627-1.html,5,6,10 Marla
Titanium,2.1 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_become_owner_of_your_prime_location_house_today_which_is_centrally_located_in_buch_executive_villas_in_buch_executive_villas-52311560-8627-1.html,4,5,7 Marla
Titanium,2.1 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_in_buch_executive_villas_you_can_find_the_perfect_prime_location_house_for_sale-52311559-8627-1.html,4,5,7 Marla
Titanium,1.65 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_prime_location_in_buch_executive_villas_5_marla_house_for_sale-52311558-8627-1.html,3,4,5 Marla
Titanium,1.49 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_prime_location_sale_the_ideally_located_house_for_an_incredible_price_of_pkr_rs_14900000-52311557-8627-1.html,3,4,5 Marla
Titanium,1.55 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_get_in_touch_now_to_buy_a_on_excellent_location_5_marla_house_in_multan-52311476-9492-1.html,4,5,5 Marla
Titanium,1.9 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_on_excellent_location_7_marla_house_in_only_rs_19000000-52311475-9492-1.html,4,5,7 Marla
Titanium,2.99 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_highly-desirable_on_excellent_location_10_marla_house_available_in_royal_orchard-52311474-9492-1.html,5,6,10 Marla
Titanium,3.3 Crore,"Wapda Town Phase 2, Wapda Town",https://www.zameen.com/Property/wapda_town_wapda_town_phase_2_this_is_your_chance_to_buy_on_excellent_location_house_in_multan-52311473-5825-1.html,5,6,10 Marla
Titanium,5.8 Crore,"Wapda Town Phase 2, Wapda Town",https://www.zameen.com/Property/wapda_town_wapda_town_phase_2_on_excellent_location_20_marla_house_for_sale_in_wapda_town-52311472-5825-1.html,5,6,1 Kanal
Titanium,5.8 Crore,"Wapda Town Phase 2, Wapda Town",https://www.zameen.com/Property/wapda_town_wapda_town_phase_2_on_excellent_location_20_marla_house_for_sale_available_in_wapda_town-52311471-5825-1.html,5,6,1 Kanal
Titanium,3.4 Crore,"Wapda Town Phase 1, Wapda Town",https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_on_excellent_location_house_of_10_marla_available_for_sale_in_wapda_town_phase_1-52311470-5821-1.html,5,6,10 Marla
Titanium,6.19 Crore,"Wapda Town Phase 1, Wapda Town",https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_on_excellent_location_house_available_for_sale_in_wapda_town_phase_1-52311469-5821-1.html,5,6,1 Kanal
Titanium,3.8 Crore,"DHA Phase 1, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_phase_1_your_ideal_on_excellent_location_20_marla_house_has_just_become_available_in_dha_phase_1-52311468-15631-1.html,5,6,1 Kanal
Titanium,2.2 Crore,"DHA Phase 1, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_phase_1_reserve_a_centrally_located_on_excellent_location_house_in_dha_phase_1-52311467-15631-1.html,5,6,10 Marla
Titanium,3.99 Crore,"DHA Phase 1 - Sector Q, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_q_on_excellent_location_20_marla_house_is_available_in_dha_phase_1_-_sector_q-52311466-14316-1.html,5,6,1 Kanal
Titanium,4.5 Crore,"DHA Phase 1 - Sector M, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_m_on_excellent_location_20_marla_house_for_sale_in_dha_phase_1_-_sector_m-52311465-14312-1.html,5,6,1 Kanal
Titanium,4.5 Crore,"DHA Phase 1 - Sector M, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_m_on_excellent_location_20_marla_house_for_sale_in_dha_phase_1_-_sector_m_multan-52311464-14312-1.html,5,6,1 Kanal
Titanium,4.3 Crore,"DHA Phase 1 - Sector H, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_h_ready_to_buy_a_prime_location_house_20_marla_in_multan-52311463-14307-1.html,5,6,1 Kanal
Titanium,2.3 Crore,"DHA Phase 1, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_phase_1_your_dream_grey_structure_20_marla_house_is_available_in_dha_phase_1-52311462-15631-1.html,5,6,1 Kanal
Titanium,2.7 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_12_marla_house_in_askari_3_is_available_for_sale-52311387-17156-1.html,4,4,12 Marla
Titanium,2.2 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_spacious_10_marla_house_available_for_sale_in_askari_3-52311386-17156-1.html,4,4,10 Marla
Titanium,3 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_your_ideal_12_marla_house_has_just_become_available_in_dha_villas-52311384-14018-1.html,4,4,12 Marla
Titanium,3.6 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_a_house_at_affordable_price_awaits_you-52311385-14018-1.html,5,5,12 Marla
Titanium,2.25 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_house_available_for_sale_in_dha_villas-52311383-14018-1.html,4,4,9 Marla
Titanium,1.75 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_highly-coveted_6_marla_house_is_available_in_dha_villas_for_sale-52311382-14018-1.html,3,4,6 Marla
Titanium,1.2 Crore,"Bahadurpur, Multan",https://www.zameen.com/Property/multan_bahadurpur_brand_new_modern_house_available_for_sale-52310502-8620-1.html,5,6,5 Marla
Titanium,1.41 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_stunning_prime_location_house_is_available_for_sale_in_buch_executive_villas-51528904-8627-1.html,3,4,5 Marla
Titanium,2.35 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_7_5_marla_corner_house_for_sale_in_buch_vilas_multan-51318577-8627-1.html,5,5,7.5 Marla
Titanium,7 Crore,"DHA Phase 1 - Sector M, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_m_ideally_located_house_of_20_marla_is_available_for_sale_in_multan-52310078-14312-1.html,6,6,1 Kanal
Titanium,3.5 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_10_marla_ultra_modern_house_available_for_sale_at_royal_orchard_multan-52260637-9492-1.html,5,6,10 Marla
,2.3 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_brand_new_house_for_sale-50595073-17156-1.html,3,3,10 Marla
,39.56 Lakh,"Vienna Heights, Ahmad Road",https://www.zameen.com/Property/ahmad_road_vienna_heights_get_in_touch_now_to_buy_a_prime_location_344_square_feet_flat_in_vienna_heights-50500510-21749-1.html,1,1,1.5 Marla
Titanium,2 Crore,"Wapda Town Phase 2 - Block R, Wapda Town Phase 2",https://www.zameen.com/Property/wapda_town_phase_2_wapda_town_phase_2_-_block_r_7_marla_house_available_for_sale_wapda_town_block_r_phase_ii_multan-51729617-14209-1.html,4,5,7 Marla
,3.5 Crore,"Shah Rukn-e-Alam Colony - Block A, Shah Rukn-e-Alam Colony",https://www.zameen.com/Property/shah_rukn_e_alam_colony_shah_rukn-e-alam_colony_-_block_a_old_house_is_available_for_sale-52144598-5802-1.html,5,5,15 Marla
Titanium,1.06 Crore,"De Orion Mall, Gulgasht Colony",https://www.zameen.com/Property/gulgasht_colony_de_orion_mall_highly-coveted_488_square_feet_flat_is_available_in_de_orion_mall_for_sale-52311378-19944-1.html,1,1,2.2 Marla
Titanium,1.06 Crore,"De Orion Mall, Gulgasht Colony",https://www.zameen.com/Property/gulgasht_colony_de_orion_mall_488_square_feet_flat_for_sale_in_beautiful_de_orion_mall-52311380-19944-1.html,1,1,2.2 Marla
Titanium,1.06 Crore,"De Orion Mall, Gulgasht Colony",https://www.zameen.com/Property/gulgasht_colony_de_orion_mall_flat_for_sale_in_multan-52311379-19944-1.html,1,1,2.2 Marla
Titanium,1.4 Crore,"Nasheman Colony, Multan",https://www.zameen.com/Property/multan_nasheman_colony_brand_new_house_available_for_sale-52310717-1075-1.html,5,6,5 Marla
Titanium,80 Lakh,"Bahadurpur, Multan",https://www.zameen.com/Property/multan_bahadurpur_brand_new_house_available_for_sale-52310643-8620-1.html,4,4,3 Marla
Titanium,1.3 Crore,"Shalimar Colony, Multan",https://www.zameen.com/Property/multan_shalimar_colony_brand_new_spanish_house_available_for_sale-52310490-346-1.html,5,6,5 Marla
Titanium,7 Crore,"Wapda Town Phase 2 - Block Q, Wapda Town Phase 2",https://www.zameen.com/Property/wapda_town_phase_2_wapda_town_phase_2_-_block_q_1_kanal_double_story_house_available_for_sale_wapda_town_block_q-52306668-14208-1.html,6,6,1 Kanal
Titanium,2.3 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_luxury_house_available_for_sale-52306382-8627-1.html,6,6,8 Marla
Titanium,6.1 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_villa_available_for_sale-52306260-8627-1.html,7,6,18 Marla
Titanium,5.7 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_villa_available_for_sale-52306239-8627-1.html,7,6,17 Marla
Titanium,5.7 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_house_available_for_sale-52306211-8627-1.html,6,6,18 Marla
Titanium,3.2 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_luxury_house_for_sale_in_buch_vills-52305910-8627-1.html,5,6,9 Marla
Titanium,1.49 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_brand_new_beautiful_luxury_double_storey_house_available_for_sale_in_buch_villas_near_to_park-50641064-8627-1.html,4,5,5 Marla
Titanium,1.2 Crore,"Bahadurpur, Multan",https://www.zameen.com/Property/multan_bahadurpur_5_marla_brand_new_beautiful_luxury_double_storey_house_available_for_sale_in_bahadurpur_attached_to_main_bosan_road-49583814-8620-1.html,4,5,5 Marla
Titanium,1.5 Crore,"Royal Orchard - Block G, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_g_5_marla_brand_new_beautiful_luxury_double_storey_house_available_for_sale_in_royal_orchard_multan-49521605-9500-1.html,4,5,5 Marla
Titanium,1.25 Crore,"Wapda Town Phase 1, Wapda Town",https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_5_marla_beautiful_luxury_double_storey_house_available_for_sale_in_wapda_town_phase_1-51216206-5821-1.html,4,5,5 Marla
Titanium,1.55 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_brand_new_beautiful_luxury_double_storey_house_available_for_sale_in_buch_villas_near_to_park-51642555-8627-1.html,4,5,5 Marla
Titanium,1.25 Crore,"Nasheman Colony, Multan",https://www.zameen.com/Property/multan_nasheman_colony_5_marla_brand_new_beautiful_luxury_double_storey_house_for_sale_in_nasheman_colony_on_main_road-51668485-1075-1.html,4,5,5 Marla
Titanium,1.4 Crore,"Bahadurpur, Multan",https://www.zameen.com/Property/multan_bahadurpur_7_marla_brand_new_modern_luxury_double_storey_house_for_sale_in_bahadurpur_bosan_road_multan-51791192-8620-1.html,4,5,7 Marla
Titanium,1.55 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_brand_new_double_storey_beautiful_luxury_house_available_for_sale_in_buch_villas-44860549-8627-1.html,4,5,5 Marla
,95 Lakh,"Bosan Road, Multan",https://www.zameen.com/Property/multan_bosan_road_bosan_road_house_sized_3_marla-51677653-5705-1.html,3,4,3 Marla
,70 Lakh,"Shalimar Colony, Multan",https://www.zameen.com/Property/multan_shalimar_colony_2_marla_spacious_house_is_available_in_shalimar_colony_for_sale-51994278-346-1.html,2,3,2 Marla
,65 Lakh,"Qasim Bela, Multan",https://www.zameen.com/Property/multan_qasim_bela_house_for_grabs_in_3_marla_qasim_bela-51099399-923-1.html,3,3,3.5 Marla
,2.5 Crore,"Fatima Jinnah Town - Block A, Fatima Jinnah Town",https://www.zameen.com/Property/fatima_jinnah_town_fatima_jinnah_town_-_block_a_a_prime_location_house_of_10_marla_in_fatima_jinnah_town_-_block_a-52011233-5723-1.html,5,6,10 Marla
,2.1 Crore,"Fatima Jinnah Town - Block G, Fatima Jinnah Town",https://www.zameen.com/Property/fatima_jinnah_town_fatima_jinnah_town_-_block_g_prime_location_house_of_10_marla_for_sale_in_fatima_jinnah_town_-_block_g-52011245-5729-1.html,5,6,10 Marla
Titanium,3.1 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_corner_luxury_house_for_sale-52304852-8627-1.html,5,6,10 Marla
Titanium,4.15 Crore,"DHA Phase 1, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_phase_1_well-constructed_house_available_for_sale_in_dha_phase_1-51528908-15631-1.html,5,6,1 Kanal
Titanium,5.6 Crore,"Wapda Town Phase 1 - Block A, Wapda Town Phase 1",https://www.zameen.com/Property/wapda_town_phase_1_wapda_town_phase_1_-_block_a_reserve_a_prime_location_house_now_in_wapda_town_phase_1_-_block_a-51528917-5822-1.html,6,6,1 Kanal
Titanium,1.6 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_5_marla_park_face_beautiful_house-51592503-8627-1.html,3,4,5 Marla
,39.5 Lakh,"Sameeja Abad, Multan",https://www.zameen.com/Property/multan_sameeja_abad_5_marla_house_for_sale_t-iron_girders-52304725-1008-1.html,2,1,5 Marla
,80 Lakh,"Bahadurpur, Multan",https://www.zameen.com/Property/multan_bahadurpur_5_3_marla_single_storey_house_in_bahadurpur_-_for_sale-52234289-8620-1.html,3,3,5 Marla
Titanium,3.48 Crore,"Royal Orchard - Block C, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_c_10_marla_most_beautiful_owner_built_house_for_sale_royal_orchard_main_boulevard-51186655-9496-1.html,5,6,11 Marla
Titanium,2.99 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_9_marla_brand_new_luxury_house_for_sale_buch_executive_villas-45181616-8627-1.html,5,6,9 Marla
Titanium,5.85 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_17_marla_main_boulevard_park_facing_house_for_sale_buch_villas_a_solid_construction_with_warranty-45512300-8627-1.html,7,6,17 Marla
Titanium,1.65 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_5_04_marla_brand_new_spanish_house_for_sale_in_buch_executive_villas-45515970-8627-1.html,4,5,5 Marla
Titanium,3.3 Crore,"Royal Orchard, Multan Public School Road",https://www.zameen.com/Property/multan_public_school_road_royal_orchard_10_marla_ultra-modern_house_for_sale_in_royal_orchard-46285594-9492-1.html,5,6,10 Marla
Titanium,1.85 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_6_marla_brand_new_triple_storey_beautiful_park_facing_house_for_sale_buchvillas-48195595-8627-1.html,4,5,6 Marla
Titanium,3.5 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_12_marla_main_boulevard_ultra-modern_brand_new_house_for_sale-49412943-8627-1.html,6,6,12 Marla
,1.45 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_brand_new_house_for_sale_in_buch_villas-47788150-8627-1.html,4,4,5 Marla
Titanium,1.5 Crore,"Gulgasht Colony, Multan",https://www.zameen.com/Property/multan_gulgasht_colony_5_marla_brand_new_double_storey_gas_house_for_sale_in_gulgasht_colony_near_bosan_road-52304202-664-1.html,4,5,5 Marla
,5.9 Crore,"Raza Abad, Multan",https://www.zameen.com/Property/multan_raza_abad_1_kanal_house_available_for_sale_on_airport_pull_wasil_road_opposite_kehkashan_nursery-50988628-12744-1.html,6,6,1 Kanal
,3.25 Crore,"Model Town - Block B, Model Town",https://www.zameen.com/Property/model_town_model_town_-_block_b_10_marla_park_facing_brand_new_house_available_for_sale_in_model_town_b-block-51501822-5773-1.html,5,7,10 Marla
,2 Crore,"Serene Villas, Jinnah Avenue",https://www.zameen.com/Property/jinnah_avenue_serene_villas_5_marla_serene_villas_available_for_sale_on_easy_instalments_in_dha_multan-52169277-22097-1.html,3,4,5 Marla
,5.7 Crore,"Wapda Town Phase 2 - Block P, Wapda Town Phase 2",https://www.zameen.com/Property/wapda_town_phase_2_wapda_town_phase_2_-_block_p_1_kanal_park_facing_house_available_for_sale_in_wapda_town_phase-2_p-block-52194745-14210-1.html,,,
