agency,price,location,link,bedrooms,bathrooms,area
,3.3 Crore,"Wapda Town Phase 1 - Block B, Wapda Town Phase 1",https://www.zameen.com/Property/wapda_town_phase_1_wapda_town_phase_1_-_block_b_10_marla_brand_new_house_available_for_sale_in_wapda_town_phase-_1_b-block-51478519-5823-1.html,6,7,10 Marla
,1 Crore,"Bahadurpur, Multan",https://www.zameen.com/Property/multan_bahadurpur_4_marla_brand_new_beautiful_house-50764561-8620-1.html,3,4,4 Marla
,1.75 Crore,"Shalimar Colony, Multan",https://www.zameen.com/Property/multan_shalimar_colony_prime_location_sale_a_house_in_shalimar_colony_prime_location-51304843-346-1.html,4,5,5 Marla
,1.45 Crore,"Bahadurpur, Multan",https://www.zameen.com/Property/multan_bahadurpur_prime_location_house_sized_15_marla_in_bahadurpur-50843895-8620-1.html,4,5,15 Marla
,1.55 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_reasonably-priced_prime_location_5_marla_house_in_buch_executive_villas_is_available_as_of_now-50797384-8627-1.html,3,4,5 Marla
,1.7 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_prime_location_house_is_available_for_sale_in_buch_executive_villas-50673382-8627-1.html,3,4,5 Marla
,1.7 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_prime_location_buch_executive_villas_5_marla_house_up_for_sale-50673380-8627-1.html,3,4,5 Marla
,1.2 Crore,"Citi Housing, Multan",https://www.zameen.com/Property/multan_citi_housing_investors_should_sale_this_prime_location_house_located_ideally_in_citi_housing-48042879-12544-1.html,3,4,5 Marla
,4.8 Crore,"DHA Phase 1 - Sector H, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_h_get_in_touch_now_to_buy_a_prime_location_20_marla_house_in_dha_phase_1_sector_h-47865785-14307-1.html,5,6,1 Kanal
Titanium,1.75 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_05_marla_ultra_luxurious_designer_house_for_sale_in_buch_executive_villas_multan-52316181-8627-1.html,4,5,5 Marla
Titanium,1.75 Crore,"Bahadurpur, Multan",https://www.zameen.com/Property/multan_bahadurpur_6_marla_brand_new_house_for_sale_bhadrpur_pso_pump-52277228-8620-1.html,5,6,6 Marla
Titanium,1.15 Crore,"Bahadurpur, Multan",https://www.zameen.com/Property/multan_bahadurpur_5_1_marla_house_for_sale_bhadrpur_multan_good_location_bosan_road-52277260-8620-1.html,4,6,5.1 Marla
Titanium,3.5 Crore,"Royal Orchard - Block C, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_c_10_marla_brand_new_corner_house_for_sale_in_royal_orchard_multan-50009001-9496-1.html,5,6,10 Marla
Titanium,4.5 Crore,"Wapda Town Phase 2 - Block M, Wapda Town Phase 2",https://www.zameen.com/Property/wapda_town_phase_2_wapda_town_phase_2_-_block_m_2_digits_house_available_for_sale_wapda_town_phase_ii_block_m-52193026-14212-1.html,5,6,1 Kanal
Titanium,6 Crore,"Wapda Town Phase 1 - Block D, Wapda Town Phase 1",https://www.zameen.com/Property/wapda_town_phase_1_wapda_town_phase_1_-_block_d_ready_to_buy_a_corner_house_20_marla_in_multan-50420001-14203-1.html,5,6,1 Kanal
